table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
166,"Killeen city, Texas","153,157","153,758","157,075","159,374","159,953","160,616",,,,,,,,,,,
167,"Paterson city, New Jersey","159,759","159,328","158,102","157,278","158,537","160,463",,,,,,,,,,,
168,"Alexandria city, Virginia","159,463","159,144","155,129","155,235","156,271","159,102",,,,,,,,,,,
169,"Hollywood city, Florida","153,048","152,820","152,447","154,149","157,006","159,073",,,,,,,,,,,
170,"Hayward city, California","162,933","162,726","158,350","157,119","157,375","158,440",,,,,,,,,,,
171,"Charleston city, South Carolina","150,599","151,065","152,116","154,291","156,263","157,665",,,,,,,,,,,
172,"Macon-Bibb County, Georgia","157,345","157,038","156,005","156,115","156,676","157,056",,,,,,,,,,,
173,"Lakewood city, Colorado","155,999","156,281","157,119","156,256","156,358","156,868",,,,,,,,,,,
174,"Sunnyvale city, California","155,631","155,261","152,444","152,618","154,053","156,792",,,,,,,,,,,
175,"Kansas City city, Kansas","156,605","156,302","154,783","153,327","154,468","156,752",,,,,,,,,,,
176,"Springfield city, Massachusetts","155,927","155,258","154,978","154,440","154,220","154,888",,,,,,,,,,,
177,"Bellevue city, Washington","151,868","151,786","149,406","151,398","152,354","154,377",,,,,,,,,,,
178,"Naperville city, Illinois","149,566","149,434","149,535","150,355","151,166","153,124",,,,,,,,,,,
179,"Joliet city, Illinois","150,490","150,352","150,750","150,449","151,081","151,837",,,,,,,,,,,
180,"Bridgeport city, Connecticut","148,637","147,713","148,175","148,552","149,810","151,599",,,,,,,,,,,
181,"Mesquite city, Texas","150,232","149,637","147,737","148,271","149,026","150,140",,,,,,,,,,,
182,"Pasadena city, Texas","151,973","151,449","148,776","148,518","148,792","149,617",,,,,,,,,,,
183,"Olathe city, Kansas","141,290","141,560","142,958","144,741","147,145","149,035",,,,,,,,,,,
184,"Escondido city, California","151,100","151,045","150,214","149,411","148,862","148,847",,,,,,,,,,,
185,"Savannah city, Georgia","147,802","147,494","146,525","148,281","148,333","148,808",,,,,,,,,,,
186,"McAllen city, Texas","142,188","142,401","143,762","144,837","147,264","148,782",,,,,,,,,,,
187,"Gainesville city, Florida","141,149","142,276","144,077","145,861","147,524","148,720",,,,,,,,,,,
188,"Pomona city, California","151,478","151,065","147,035","146,743","146,971","147,966",,,,,,,,,,,
189,"Rockford city, Illinois","148,946","148,696","147,792","146,937","146,799","147,486",,,,,,,,,,,
190,"Thornton city, Colorado","141,865","142,191","142,942","143,459","145,533","146,689",,,,,,,,,,,
191,"Waco city, Texas","140,122","140,543","142,357","143,293","144,943","146,608",,,,,,,,,,,
192,"Visalia city, California","141,590","141,787","142,716","143,805","145,111","146,271",,,,,,,,,,,
193,"Syracuse city, New York","148,611","146,934","145,862","146,778","146,067","146,097",,,,,,,,,,,
194,"Columbia city, South Carolina","136,805","136,207","136,400","139,639","142,173","144,788",,,,,,,,,,,
195,"Midland city, Texas","132,874","133,245","131,918","135,099","139,488","143,687",,,,,,,,,,,
196,"Miramar city, Florida","134,713","134,525","135,386","138,555","141,159","143,242",,,,,,,,,,,
197,"Palm Bay city, Florida","119,751","120,168","122,994","129,405","136,084","142,023",,,,,,,,,,,
198,"Jackson city, Mississippi","153,703","153,004","149,414","145,782","143,485","141,449",,,,,,,,,,,
199,"Coral Springs city, Florida","134,403","134,182","133,159","134,697","137,685","140,808",,,,,,,,,,,
200,"Victorville city, California","134,821","134,721","136,123","137,515","139,111","140,721",,,,,,,,,,,
201,"Elizabeth city, New Jersey","137,310","136,681","135,541","135,796","138,045","140,413",,,,,,,,,,,
202,"Fullerton city, California","143,645","143,398","140,260","140,890","140,142","140,054",,,,,,,,,,,
203,"Meridian city, Idaho","117,794","119,496","125,865","130,176","135,322","139,740",,,,,,,,,,,
204,"Torrance city, California","146,946","146,440","143,248","141,275","140,111","139,576",,,,,,,,,,,
205,"Stamford city, Connecticut","135,453","135,474","136,837","136,721","137,578","139,134",,,,,,,,,,,
206,"West Valley City city, Utah","140,238","139,995","139,128","137,378","137,592","138,144",,,,,,,,,,,
207,"Orange city, California","139,930","139,481","137,834","137,886","138,246","137,941",,,,,,,,,,,
208,"Cedar Rapids city, Iowa","137,732","137,857","137,112","136,861","136,637","137,904",,,,,,,,,,,
209,"Warren city, Michigan","139,395","139,208","138,340","137,274","137,152","137,686",,,,,,,,,,,
210,"Hampton city, Virginia","137,154","137,282","137,780","137,970","137,157","137,596",,,,,,,,,,,
211,"New Haven city, Connecticut","133,986","129,314","134,088","134,684","136,144","137,562",,,,,,,,,,,
212,"Pasadena city, California","139,622","139,373","137,039","135,654","135,699","137,195",,,,,,,,,,,
213,"Kent city, Washington","136,608","136,593","135,151","134,806","135,048","136,588",,,,,,,,,,,
214,"Dayton city, Ohio","137,677","137,553","136,909","136,100","135,936","136,346",,,,,,,,,,,
215,"Fargo city, North Dakota","125,949","125,986","129,486","132,030","134,360","136,285",,,,,,,,,,,
216,"Lewisville city, Texas","125,674","126,431","127,253","131,639","134,408","135,983",,,,,,,,,,,
217,"Carrollton city, Texas","133,440","133,562","133,579","134,244","134,043","135,456",,,,,,,,,,,
218,"Round Rock city, Texas","119,529","120,572","124,146","127,269","131,316","135,359",,,,,,,,,,,
219,"Sterling Heights city, Michigan","134,340","134,114","133,204","132,521","133,696","134,342",,,,,,,,,,,
220,"Santa Clara city, California","127,863","128,606","128,498","129,632","131,488","133,132",,,,,,,,,,,
221,"Norman city, Oklahoma","127,997","128,179","129,099","129,779","130,349","131,010",,,,,,,,,,,
222,"Columbia city, Missouri","126,055","126,314","127,409","128,409","129,780","130,900",,,,,,,,,,,
223,"Abilene city, Texas","125,004","125,230","125,879","127,476","129,443","130,501",,,,,,,,,,,
224,"Pearland city, Texas","125,824","126,011","126,071","127,402","128,536","129,620",,,,,,,,,,,
225,"Athens-Clarke County unified government (balance), Georgia","127,353","127,239","127,898","128,638","129,026","128,691",,,,,,,,,,,
226,"College Station city, Texas","120,523","120,779","122,696","124,587","126,838","128,023",,,,,,,,,,,
227,"Clovis city, California","120,165","120,785","123,327","125,062","126,314","127,993",,,,,,,,,,,
228,"West Palm Beach city, Florida","117,321","117,512","117,924","122,120","126,017","127,744",,,,,,,,,,,
229,"Allentown city, Pennsylvania","125,855","125,731","125,833","125,347","125,919","127,138",,,,,,,,,,,
230,"North Charleston city, South Carolina","114,885","115,613","117,633","118,745","121,740","126,005",,,,,,,,,,,
231,"Simi Valley city, California","126,369","126,347","125,815","125,103","125,271","125,778",,,,,,,,,,,
232,"Topeka city, Kansas","126,600","126,430","126,162","125,426","125,354","125,467",,,,,,,,,,,
233,"Wilmington city, North Carolina","115,459","115,887","117,969","121,353","123,599","125,284",,,,,,,,,,,
234,"Lakeland city, Florida","112,614","113,881","117,320","120,604","123,046","124,990",,,,,,,,,,,
235,"Thousand Oaks city, California","126,954","126,814","126,075","124,728","124,074","124,229",,,,,,,,,,,
236,"Concord city, California","125,410","125,284","124,353","123,440","123,189","124,016",,,,,,,,,,,
237,"Rochester city, Minnesota","121,391","121,575","121,845","121,979","122,658","123,624",,,,,,,,,,,
238,"Vallejo city, California","126,082","125,930","124,810","123,934","123,292","123,475",,,,,,,,,,,
239,"Ann Arbor city, Michigan","123,892","123,757","119,603","121,274","122,645","122,925",,,,,,,,,,,
240,"Broken Arrow city, Oklahoma","113,577","113,955","116,400","118,199","119,734","122,756",,,,,,,,,,,
241,"Fairfield city, California","119,927","119,890","119,995","120,205","121,125","122,646",,,,,,,,,,,
242,"Lafayette city, Louisiana","121,391","121,450","121,471","121,506","121,767","122,280",,,,,,,,,,,
243,"Hartford city, Connecticut","121,631","120,469","120,788","120,888","121,332","122,129",,,,,,,,,,,
244,"Arvada city, Colorado","124,354","124,363","123,512","121,608","121,706","121,873",,,,,,,,,,,
245,"Berkeley city, California","124,320","124,219","115,555","119,429","120,320","121,749",,,,,,,,,,,
246,"Independence city, Missouri","122,926","122,845","122,149","120,981","121,060","121,629",,,,,,,,,,,
247,"Billings city, Montana","117,159","117,233","117,763","119,952","120,797","121,483",,,,,,,,,,,
248,"Cambridge city, Massachusetts","118,379","118,204","117,215","117,973","119,315","121,186",,,,,,,,,,,
249,"Lowell city, Massachusetts","115,560","115,834","117,970","118,510","119,153","120,418",,,,,,,,,,,
250,"Odessa city, Texas","114,451","114,934","112,210","113,304","116,402","119,748",,,,,,,,,,,
251,"High Point city, North Carolina","114,115","114,767","115,091","115,774","117,598","118,601",,,,,,,,,,,
252,"League City city, Texas","114,344","114,659","115,672","115,603","116,624","118,456",,,,,,,,,,,
253,"Antioch city, California","115,304","115,382","115,489","116,098","117,179","118,453",,,,,,,,,,,
254,"Richardson city, Texas","119,465","119,308","118,134","119,192","118,626","118,221",,,,,,,,,,,
255,"Goodyear city, Arizona","96,165","97,814","102,778","107,415","112,157","118,186",,,,,,,,,,,
256,"Pompano Beach city, Florida","112,057","111,964","111,522","113,372","115,903","118,104",,,,,,,,,,,
257,"Nampa city, Idaho","100,428","101,430","106,617","111,229","114,825","117,350",,,,,,,,,,,
258,"Menifee city, California","102,523","103,218","107,044","110,473","113,684","117,041",,,,,,,,,,,
259,"Las Cruces city, New Mexico","111,400","111,721","112,797","113,921","115,489","116,998",,,,,,,,,,,
260,"Clearwater city, Florida","117,435","117,343","117,133","117,344","117,555","116,811",,,,,,,,,,,
261,"West Jordan city, Utah","116,961","117,034","116,549","117,150","116,197","116,688",,,,,,,,,,,
262,"New Braunfels city, Texas","90,441","91,683","99,130","104,840","111,202","116,477",,,,,,,,,,,
263,"Manchester city, New Hampshire","115,653","115,512","115,140","115,454","115,692","116,386",,,,,,,,,,,
264,"Miami Gardens city, Florida","111,598","111,445","111,583","112,231","114,525","116,173",,,,,,,,,,,
265,"Waterbury city, Connecticut","114,457","113,889","114,588","114,734","115,288","115,908",,,,,,,,,,,
266,"Provo city, Utah","115,178","115,104","114,975","114,038","114,276","115,479",,,,,,,,,,,
267,"Evansville city, Indiana","117,293","117,377","116,627","115,751","115,421","115,395",,,,,,,,,,,
