table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
445,"Newport Beach city, California","85,229","85,163","84,343","83,648","83,091","82,970",,,,,,,,,,,
446,"Brooklyn Park city, Minnesota","86,460","86,216","84,505","83,481","82,333","82,893",,,,,,,,,,,
447,"Westland city, Michigan","85,408","85,126","84,267","83,263","82,724","82,745",,,,,,,,,,,
448,"Buena Park city, California","84,024","83,870","83,023","82,606","82,394","82,611",,,,,,,,,,,
449,"Jonesboro city, Arkansas","78,555","78,841","78,767","79,741","80,976","82,384",,,,,,,,,,,
450,"Largo city, Florida","82,681","82,630","82,586","82,835","82,756","82,337",,,,,,,,,,,
451,"Redmond city, Washington","73,269","73,374","74,989","76,503","79,690","82,195",,,,,,,,,,,
452,"Somerville city, Massachusetts","81,048","80,901","80,263","80,640","81,240","82,149",,,,,,,,,,,
453,"Cicero town, Illinois","85,289","84,920","83,258","82,046","81,675","82,090",,,,,,,,,,,
454,"Pasco city, Washington","77,345","77,686","78,762","79,351","80,343","81,724",,,,,,,,,,,
455,"Johns Creek city, Georgia","82,444","82,585","82,196","82,616","81,508","81,167",,,,,,,,,,,
456,"Lake Charles city, Louisiana","84,938","84,885","80,469","79,236","79,937","81,157",,,,,,,,,,,
457,"Pharr city, Texas","79,731","79,845","79,627","80,311","80,760","81,142",,,,,,,,,,,
458,"Loveland city, Colorado","76,367","76,375","77,018","77,963","79,522","81,102",,,,,,,,,,,
459,"Mansfield city, Texas","72,636","72,806","74,494","76,976","79,063","80,803",,,,,,,,,,,
460,"Woodbury city, Minnesota","75,105","75,480","77,109","78,685","79,658","80,596",,,,,,,,,,,
461,"Lynchburg city, Virginia","79,017","78,993","79,137","79,279","79,775","80,301",,,,,,,,,,,
462,"Alhambra city, California","82,863","82,650","81,226","80,538","80,244","80,279",,,,,,,,,,,
463,"Flower Mound town, Texas","75,975","76,492","77,566","78,783","79,947","79,990",,,,,,,,,,,
464,"Bloomington city, Indiana","80,212","80,140","80,437","80,379","80,262","79,986",,,,,,,,,,,
465,"Rapid City city, South Dakota","74,730","74,943","76,769","78,702","79,376","79,894",,,,,,,,,,,
466,"Milpitas city, California","80,269","79,786","77,408","77,619","78,421","79,746",,,,,,,,,,,
467,"Flint city, Michigan","81,266","81,109","80,587","79,850","79,669","79,735",,,,,,,,,,,
468,"Upland city, California","79,040","79,047","79,272","79,190","79,171","79,684",,,,,,,,,,,
469,"Bethlehem city, Pennsylvania","75,795","75,706","77,947","77,752","78,835","79,453",,,,,,,,,,,
470,"Parma city, Ohio","81,121","80,962","80,167","79,531","79,310","79,350",,,,,,,,,,,
471,"Bloomington city, Illinois","78,701","78,692","78,828","78,939","78,952","79,232",,,,,,,,,,,
472,"Bowling Green city, Kentucky","72,313","72,472","73,151","75,233","77,069","79,076",,,,,,,,,,,
473,"Tustin city, California","79,948","79,885","79,211","78,607","78,382","78,863",,,,,,,,,,,
474,"Alameda city, California","78,285","78,117","76,603","75,894","76,791","78,795",,,,,,,,,,,
475,"Missouri City city, Texas","74,254","74,440","75,097","76,900","77,690","78,582",,,,,,,,,,,
476,"Wyoming city, Michigan","76,518","76,768","76,847","76,759","77,772","78,559",,,,,,,,,,,
477,"Plymouth city, Minnesota","81,020","80,960","79,852","78,828","77,940","78,551",,,,,,,,,,,
478,"Lakewood city, California","82,496","82,225","80,495","79,365","78,717","78,494",,,,,,,,,,,
479,"Cedar Park city, Texas","77,603","78,037","78,939","78,025","78,060","78,380",,,,,,,,,,,
480,"Rochester Hills city, Michigan","76,311","76,144","76,064","77,214","77,694","78,330",,,,,,,,,,,
481,"Broomfield city, Colorado","74,106","74,494","75,430","76,245","77,029","78,323",,,,,,,,,,,
482,"Mableton city, Georgia","77,080","77,114","77,205","77,686","78,060","78,314",,,,,,,,,,,
483,"Missoula city, Montana","74,137","74,406","75,407","76,879","77,647","78,204",,,,,,,,,,,
484,"Racine city, Wisconsin","78,337","78,163","77,349","77,186","77,379","78,057",,,,,,,,,,,
485,"Lakeville city, Minnesota","69,495","70,030","72,732","74,615","76,393","77,971",,,,,,,,,,,
486,"Bismarck city, North Dakota","73,623","73,741","74,495","75,483","76,389","77,772",,,,,,,,,,,
487,"Flagstaff city, Arizona","76,845","77,091","74,817","76,035","76,819","77,539",,,,,,,,,,,
488,"Chino Hills city, California","78,429","78,457","78,384","77,876","77,477","77,418",,,,,,,,,,,
489,"Pittsburg city, California","76,407","76,355","75,899","75,709","76,177","77,131",,,,,,,,,,,
490,"Schaumburg village, Illinois","78,723","78,432","77,109","76,342","76,366","77,099",,,,,,,,,,,
491,"Pawtucket city, Rhode Island","75,611","75,488","75,313","75,660","76,097","76,996",,,,,,,,,,,
492,"Napa city, California","79,305","79,341","79,131","78,174","77,542","76,921",,,,,,,,,,,
493,"Southfield city, Michigan","76,608","76,409","75,956","75,725","76,187","76,874",,,,,,,,,,,
494,"Ankeny city, Iowa","68,095","68,562","70,635","72,416","74,822","76,727",,,,,,,,,,,
495,"Iowa City city, Iowa","74,825","74,914","75,180","75,867","76,111","76,710",,,,,,,,,,,
496,"Maricopa city, Arizona","58,142","58,856","62,472","66,373","71,362","76,654",,,,,,,,,,,
497,"Lauderhill city, Florida","74,493","74,335","73,627","74,371","75,499","76,627",,,,,,,,,,,
498,"Marysville city, Washington","70,715","70,979","71,601","72,556","73,686","76,209",,,,,,,,,,,
499,"Hammond city, Indiana","77,844","77,755","77,201","76,639","76,191","76,030",,,,,,,,,,,
500,"Evanston city, Illinois","78,102","77,818","76,605","75,618","75,614","76,006",,,,,,,,,,,
501,"Apex town, North Carolina","64,324","65,212","68,264","71,129","72,796","75,977",,,,,,,,,,,
502,"Scranton city, Pennsylvania","76,340","76,180","76,181","75,895","75,940","75,905",,,,,,,,,,,
503,"New Britain city, Connecticut","74,150","72,943","73,571","73,773","74,911","75,871",,,,,,,,,,,
504,"Rock Hill city, South Carolina","74,366","74,654","74,713","75,335","75,669","75,798",,,,,,,,,,,
505,"Bellflower city, California","79,213","78,970","77,287","76,268","75,760","75,716",,,,,,,,,,,
506,"Pleasanton city, California","79,858","79,671","77,691","76,168","75,588","75,664",,,,,,,,,,,
507,"Rogers city, Arkansas","69,924","70,360","71,383","73,164","74,353","75,639",,,,,,,,,,,
508,"Arlington Heights village, Illinois","77,663","77,399","76,061","75,276","75,066","75,596",,,,,,,,,,,
509,"Appleton city, Wisconsin","75,678","75,593","74,977","74,912","75,102","75,344",,,,,,,,,,,
510,"Noblesville city, Indiana","69,854","70,163","71,475","73,268","74,124","75,239",,,,,,,,,,,
511,"Blaine city, Minnesota","70,216","70,469","71,033","71,847","73,909","75,172",,,,,,,,,,,
512,"Tamarac city, Florida","71,903","71,914","71,712","72,622","73,863","75,147",,,,,,,,,,,
513,"Rocklin city, California","71,600","71,772","72,772","73,230","73,835","75,129",,,,,,,,,,,
514,"Apple Valley town, California","75,784","75,858","75,805","75,422","75,133","75,029",,,,,,,,,,,
515,"Bolingbrook village, Illinois","73,949","73,827","73,713","74,162","74,361","74,756",,,,,,,,,,,
516,"Gulfport city, Mississippi","72,925","72,880","72,200","72,229","73,095","74,621",,,,,,,,,,,
517,"Bayonne city, New Jersey","71,686","71,603","69,561","70,118","71,890","74,532",,,,,,,,,,,
518,"Greenville city, South Carolina","71,110","71,428","72,650","72,828","73,368","74,371",,,,,,,,,,,
519,"San Marcos city, Texas","67,782","68,224","69,370","70,542","71,933","74,316",,,,,,,,,,,
520,"Redlands city, California","73,179","73,244","73,230","72,943","73,232","74,279",,,,,,,,,,,
521,"West Des Moines city, Iowa","68,725","68,920","69,913","70,751","72,518","73,664",,,,,,,,,,,
522,"Johnson City city, Tennessee","71,060","71,121","71,145","72,616","73,447","73,635",,,,,,,,,,,
523,"Lake Elsinore city, California","70,250","70,564","72,156","72,860","73,179","73,595",,,,,,,,,,,
524,"Framingham city, Massachusetts","72,377","72,129","71,796","72,115","72,624","73,361",,,,,,,,,,,
525,"Kalamazoo city, Michigan","73,547","73,489","72,281","72,911","73,384","73,290",,,,,,,,,,,
526,"Wilmington city, Delaware","70,889","70,842","70,712","71,727","72,126","73,176",,,,,,,,,,,
527,"Caldwell city, Idaho","60,170","60,743","63,962","66,129","68,708","73,088",,,,,,,,,,,
528,"Turlock city, California","72,689","72,768","72,171","72,259","72,460","72,888",,,,,,,,,,,
529,"Maple Grove city, Minnesota","70,268","70,302","70,625","70,687","71,541","72,739",,,,,,,,,,,
530,"Tulare city, California","68,913","69,334","70,440","70,809","71,554","72,601",,,,,,,,,,,
531,"St. Charles city, Missouri","70,586","70,790","71,102","71,287","72,040","72,458",,,,,,,,,,,
532,"Eau Claire city, Wisconsin","69,449","69,491","69,430","70,355","71,469","72,331",,,,,,,,,,,
533,"Harlingen city, Texas","71,989","72,045","72,192","71,955","71,954","72,234",,,,,,,,,,,
534,"St. Cloud city, Minnesota","69,615","69,610","69,806","70,129","71,441","72,145",,,,,,,,,,,
535,"Mount Vernon city, New York","73,908","73,561","72,866","71,956","71,618","71,999",,,,,,,,,,,
536,"East Orange city, New Jersey","69,656","69,419","68,948","69,386","70,740","71,850",,,,,,,,,,,
537,"Lafayette city, Indiana","70,804","70,763","70,866","71,700","71,926","71,757",,,,,,,,,,,
538,"Camden city, New Jersey","71,775","71,741","71,555","70,922","71,413","71,749",,,,,,,,,,,
539,"Dothan city, Alabama","71,068","71,105","70,990","71,215","71,317","71,650",,,,,,,,,,,
540,"Waukesha city, Wisconsin","71,151","71,138","71,039","71,088","71,349","71,461",,,,,,,,,,,
541,"North Richland Hills city, Texas","69,912","70,294","70,285","70,872","71,142","71,436",,,,,,,,,,,
542,"St. Joseph city, Missouri","72,479","72,153","71,400","70,702","70,853","71,098",,,,,,,,,,,
543,"St. Cloud city, Florida","58,974","59,451","62,150","65,120","67,895","71,036",,,,,,,,,,,
544,"Jacksonville city, North Carolina","72,740","73,270","70,479","70,652","71,126","70,840",,,,,,,,,,,
545,"Walnut Creek city, California","70,131","70,218","69,973","69,547","69,806","70,817",,,,,,,,,,,
546,"Eastvale city, California","69,751","70,039","70,941","70,783","70,691","70,751",,,,,,,,,,,
547,"Passaic city, New Jersey","70,547","70,318","69,748","69,452","69,837","70,722",,,,,,,,,,,
548,"Conway city, Arkansas","64,154","64,364","65,936","67,685","69,531","70,711",,,,,,,,,,,
549,"Gaithersburg city, Maryland","69,629","69,477","69,178","69,515","70,268","70,686",,,,,,,,,,,
550,"Weston city, Florida","68,114","68,008","67,488","68,353","69,591","70,674",,,,,,,,,,,
551,"Grand Junction city, Colorado","65,641","65,759","66,893","68,071","69,448","70,554",,,,,,,,,,,
552,"Dublin city, California","72,526","72,281","70,802","70,187","70,123","70,544",,,,,,,,,,,
553,"Ocala city, Florida","63,678","63,885","64,392","65,655","68,829","70,251",,,,,,,,,,,
554,"Commerce City city, Colorado","62,431","62,788","64,439","66,235","68,552","70,245",,,,,,,,,,,
555,"Delray Beach city, Florida","66,846","66,815","66,672","67,587","68,594","70,140",,,,,,,,,,,
556,"Camarillo city, California","70,731","70,721","70,551","70,029","69,775","69,881",,,,,,,,,,,
557,"Shawnee city, Kansas","67,315","67,430","67,452","68,778","69,264","69,724",,,,,,,,,,,
558,"Portland city, Maine","68,409","68,496","68,442","68,457","69,367","69,568",,,,,,,,,,,
559,"Idaho Falls city, Idaho","65,622","65,929","67,192","67,852","68,072","69,523",,,,,,,,,,,
560,"Schenectady city, New York","67,039","68,347","68,922","68,687","68,782","69,495",,,,,,,,,,,
561,"Jackson city, Tennessee","68,214","68,200","67,881","68,365","68,391","69,303",,,,,,,,,,,
562,"Baldwin Park city, California","72,191","71,965","70,483","69,680","69,303","69,247",,,,,,,,,,,
563,"Canton city, Ohio","70,743","70,611","70,164","69,592","69,230","69,211",,,,,,,,,,,
564,"Yuba City city, California","70,213","70,072","69,691","69,313","69,116","69,148",,,,,,,,,,,
565,"Madera city, California","66,281","66,521","67,473","67,640","68,399","69,094",,,,,,,,,,,
566,"Ames city, Iowa","66,432","66,490","67,028","67,329","68,428","69,026",,,,,,,,,,,
567,"Casa Grande city, Arizona","53,660","54,126","57,429","60,109","64,027","68,927",,,,,,,,,,,
568,"Decatur city, Illinois","71,152","70,978","70,146","69,269","68,824","68,763",,,,,,,,,,,
569,"Lodi city, California","66,339","66,440","67,106","67,665","68,137","68,642",,,,,,,,,,,
570,"Rockville city, Maryland","67,099","67,337","67,219","67,462","67,966","68,417",,,,,,,,,,,
571,"Haverhill city, Massachusetts","67,776","67,636","67,368","67,420","67,843","68,291",,,,,,,,,,,
572,"Greenwood city, Indiana","63,822","63,979","64,884","65,452","66,466","68,175",,,,,,,,,,,
573,"Rowlett city, Texas","62,553","62,769","63,727","65,229","67,481","68,123",,,,,,,,,,,
574,"Redondo Beach city, California","71,583","71,358","69,868","68,851","68,273","68,075",,,,,,,,,,,
575,"Novi city, Michigan","66,232","66,126","66,322","66,394","67,074","67,675",,,,,,,,,,,
576,"Palo Alto city, California","68,585","68,356","66,799","66,506","66,794","67,658",,,,,,,,,,,
577,"Gary city, Indiana","69,082","69,006","68,538","68,048","67,672","67,555",,,,,,,,,,,
578,"Waterloo city, Iowa","67,309","67,266","66,895","66,530","66,856","67,477",,,,,,,,,,,
579,"Alpharetta city, Georgia","65,811","65,966","66,225","67,378","67,366","67,275",,,,,,,,,,,
580,"Oshkosh city, Wisconsin","66,895","66,913","66,093","66,497","66,866","67,242",,,,,,,,,,,
581,"Eagan city, Minnesota","68,862","68,745","68,729","67,658","67,574","67,240",,,,,,,,,,,
582,"Davis city, California","66,861","66,903","67,142","67,024","66,687","67,125",,,,,,,,,,,
583,"Huntersville town, North Carolina","61,406","61,609","61,944","63,914","65,367","67,087",,,,,,,,,,,
584,"Sanford city, Florida","61,077","61,098","61,072","63,430","66,036","66,919",,,,,,,,,,,
585,"Union City city, New Jersey","68,634","68,138","65,965","65,314","65,915","66,918",,,,,,,,,,,
586,"Pflugerville city, Texas","65,179","65,490","66,508","65,873","65,927","66,819",,,,,,,,,,,
587,"Albany city, Georgia","69,653","69,103","66,289","67,148","66,871","66,705",,,,,,,,,,,
588,"Malden city, Massachusetts","66,274","66,086","65,349","65,472","65,840","66,693",,,,,,,,,,,
589,"Port Orange city, Florida","62,621","62,734","63,348","65,032","66,264","66,556",,,,,,,,,,,
590,"Yorba Linda city, California","68,319","68,232","67,566","67,018","66,539","66,489",,,,,,,,,,,
591,"Sammamish city, Washington","67,458","67,449","66,573","65,964","65,857","66,474",,,,,,,,,,,
592,"Janesville city, Wisconsin","65,633","65,651","66,013","65,964","66,130","66,428",,,,,,,,,,,
593,"Brentwood city, California","64,291","64,454","64,833","65,020","65,452","66,286",,,,,,,,,,,
594,"Shoreline city, Washington","58,609","58,820","59,250","60,349","62,527","66,251",,,,,,,,,,,
595,"Union City city, California","70,145","69,933","68,118","66,753","66,212","66,196",,,,,,,,,,,
596,"Victoria city, Texas","65,535","65,536","65,218","65,438","65,920","66,020",,,,,,,,,,,
597,"Palatine village, Illinois","67,890","67,670","66,438","65,572","65,385","65,951",,,,,,,,,,,
598,"Skokie village, Illinois","67,824","67,690","66,467","65,590","65,460","65,850",,,,,,,,,,,
599,"Waltham city, Massachusetts","65,206","64,238","64,576","64,719","65,165","65,849",,,,,,,,,,,
600,"Kyle city, Texas","45,683","46,433","51,638","57,366","62,871","65,833",,,,,,,,,,,
601,"Lorain city, Ohio","65,218","65,232","65,372","65,354","65,413","65,751",,,,,,,,,,,
602,"Cheyenne city, Wyoming","65,187","65,283","65,151","64,668","65,287","65,704",,,,,,,,,,,
603,"Parker town, Colorado","58,495","58,853","60,456","61,279","62,918","65,473",,,,,,,,,,,
604,"Muncie city, Indiana","65,202","65,100","65,195","65,163","65,145","65,320",,,,,,,,,,,
605,"Burnsville city, Minnesota","64,324","64,519","64,036","64,039","64,928","64,864",,,,,,,,,,,
606,"Bellevue city, Nebraska","65,042","65,154","64,731","63,906","64,114","64,777",,,,,,,,,,,
607,"South San Francisco city, California","66,095","65,903","63,822","63,368","63,738","64,660",,,,,,,,,,,
608,"Kenner city, Louisiana","66,457","66,290","65,424","64,248","63,905","64,650",,,,,,,,,,,
609,"North Little Rock city, Arkansas","64,609","64,674","64,168","64,674","64,655","64,498",,,,,,,,,,,
610,"Richland city, Washington","60,575","60,892","61,961","62,829","63,685","64,372",,,,,,,,,,,
611,"Millcreek city, Utah","63,892","63,676","64,222","63,307","62,901","64,217",,,,,,,,,,,
612,"Laguna Niguel city, California","64,346","64,538","64,441","63,827","63,631","64,185",,,,,,,,,,,
613,"Madison city, Alabama","56,976","57,310","58,337","59,866","61,022","64,029",,,,,,,,,,,
614,"Chapel Hill town, North Carolina","62,264","57,017","61,635","62,230","63,098","64,028",,,,,,,,,,,
615,"Hamilton city, Ohio","63,393","63,419","63,159","63,176","63,516","63,953",,,,,,,,,,,
616,"Hendersonville city, Tennessee","61,786","62,119","62,446","63,064","63,755","63,947",,,,,,,,,,,
617,"Moore city, Oklahoma","62,808","63,057","63,087","63,315","63,637","63,845",,,,,,,,,,,
618,"Coon Rapids city, Minnesota","63,636","63,601","63,509","62,909","63,501","63,807",,,,,,,,,,,
619,"Utica city, New York","65,288","65,173","64,580","64,044","63,676","63,660",,,,,,,,,,,
620,"Lynwood city, California","67,238","66,791","64,750","63,928","63,723","63,596",,,,,,,,,,,
621,"Porterville city, California","62,983","63,004","63,048","63,029","63,225","63,517",,,,,,,,,,,
622,"Palm Beach Gardens city, Florida","59,176","59,248","59,552","60,678","62,113","63,284",,,,,,,,,,,
623,"Wellington village, Florida","61,609","61,573","61,365","61,954","62,609","63,258",,,,,,,,,,,
624,"Bossier City city, Louisiana","62,720","62,711","62,934","62,628","62,991","63,218",,,,,,,,,,,
625,"Marietta city, Georgia","61,055","61,036","61,394","62,772","63,099","63,122",,,,,,,,,,,
626,"Westfield city, Indiana","46,446","47,025","50,743","54,752","57,848","62,994",,,,,,,,,,,
627,"Jupiter town, Florida","61,098","61,183","61,147","61,697","62,360","62,987",,,,,,,,,,,
628,"Woodland city, California","61,045","60,967","61,366","61,972","61,987","62,983",,,,,,,,,,,
629,"Wylie city, Texas","57,516","57,883","59,490","61,258","61,792","62,954",,,,,,,,,,,
630,"Eden Prairie city, Minnesota","64,198","64,180","63,131","62,584","62,392","62,905",,,,,,,,,,,
631,"Apopka city, Florida","54,910","54,928","55,622","57,503","60,329","62,777",,,,,,,,,,,
632,"Lakewood city, Washington","63,608","63,619","63,415","62,661","62,266","62,709",,,,,,,,,,,
633,"Council Bluffs city, Iowa","62,781","62,784","62,582","62,405","62,535","62,665",,,,,,,,,,,
634,"San Clemente city, California","64,285","64,217","63,644","63,124","62,685","62,627",,,,,,,,,,,
635,"Santa Cruz city, California","64,230","64,218","55,432","63,016","62,857","62,581",,,,,,,,,,,
636,"White Plains city, New York","59,558","59,593","59,687","59,662","61,789","62,561",,,,,,,,,,,
637,"Pontiac city, Michigan","61,602","61,839","62,093","62,060","62,060","62,528",,,,,,,,,,,
638,"Marana town, Arizona","51,906","52,626","54,694","56,071","58,825","62,380",,,,,,,,,,,
639,"Herriman city, Utah","55,175","56,209","58,124","59,378","60,684","62,352",,,,,,,,,,,
640,"North Miami city, Florida","60,182","59,831","59,050","59,751","60,899","62,202",,,,,,,,,,,
641,"Bristol city, Connecticut","60,861","60,744","61,122","61,407","61,823","62,195",,,,,,,,,,,
642,"Vineland city, New Jersey","60,782","60,641","60,561","60,594","61,212","62,070",,,,,,,,,,,
643,"Corvallis city, Oregon","59,918","58,345","57,005","60,734","61,627","61,993",,,,,,,,,,,
644,"Taunton city, Massachusetts","59,350","59,408","59,659","60,022","61,079","61,936",,,,,,,,,,,
645,"Bentonville city, Arkansas","54,216","54,819","56,929","58,030","59,710","61,791",,,,,,,,,,,
646,"Taylor city, Michigan","63,390","63,167","62,426","61,737","61,439","61,544",,,,,,,,,,,
647,"St. Peters city, Missouri","57,729","57,707","58,216","58,560","59,600","61,398",,,,,,,,,,,
648,"La Habra city, California","63,123","63,009","62,299","61,773","61,395","61,391",,,,,,,,,,,
649,"Burlington city, North Carolina","57,369","57,547","59,272","59,580","60,350","61,365",,,,,,,,,,,
650,"Blue Springs city, Missouri","58,749","58,880","59,585","59,552","60,591","61,246",,,,,,,,,,,
651,"Little Elm city, Texas","46,468","47,212","51,246","55,496","58,859","61,219",,,,,,,,,,,
652,"Springfield city, Oregon","61,875","61,865","61,912","61,344","61,131","61,182",,,,,,,,,,,
653,"Encinitas city, California","62,001","61,999","61,684","61,393","61,154","61,137",,,,,,,,,,,
654,"Dearborn Heights city, Michigan","63,287","63,054","62,277","61,404","61,017","61,040",,,,,,,,,,,
655,"Stonecrest city, Georgia","59,189","59,269","59,986","61,186","61,058","61,015",,,,,,,,,,,
656,"Meriden city, Connecticut","60,833","60,622","60,454","60,381","60,438","60,849",,,,,,,,,,,
657,"La Mesa city, California","61,114","61,094","60,758","60,727","60,670","60,767",,,,,,,,,,,
658,"Revere city, Massachusetts","62,247","61,911","59,475","58,967","58,966","60,702",,,,,,,,,,,
659,"Owensboro city, Kentucky","60,249","60,284","60,035","60,136","60,394","60,675",,,,,,,,,,,
660,"Margate city, Florida","58,701","58,607","58,132","58,780","59,786","60,650",,,,,,,,,,,
661,"Montebello city, California","62,634","62,441","61,189","60,553","60,431","60,617",,,,,,,,,,,
662,"Hanford city, California","59,007","59,144","59,499","59,598","60,006","60,594",,,,,,,,,,,
663,"Eagle Mountain city, Utah","43,620","44,616","49,645","54,249","57,386","60,575",,,,,,,,,,,
664,"Kannapolis city, North Carolina","53,197","55,369","56,356","57,685","59,517","60,521",,,,,,,,,,,
665,"Gilroy city, California","59,533","59,399","58,079","58,123","59,008","60,390",,,,,,,,,,,
666,"Smyrna town, Tennessee","53,106","53,515","55,455","56,596","57,639","60,302",,,,,,,,,,,
667,"Weymouth Town city, Massachusetts","57,443","57,471","57,639","57,707","59,543","60,159",,,,,,,,,,,
668,"Kokomo city, Indiana","59,603","59,572","59,661","59,660","59,899","60,093",,,,,,,,,,,
669,"Great Falls city, Montana","60,478","60,453","60,416","60,464","60,243","60,013",,,,,,,,,,,
670,"Euless city, Texas","61,027","61,080","60,556","60,361","60,115","60,010",,,,,,,,,,,
671,"Winter Haven city, Florida","50,208","50,603","52,744","55,222","57,480","59,975",,,,,,,,,,,
672,"San Rafael city, California","61,284","61,143","60,887","60,240","59,818","59,961",,,,,,,,,,,
673,"Medford city, Massachusetts","59,671","59,520","58,874","59,062","59,395","59,898",,,,,,,,,,,
674,"Grand Forks city, North Dakota","59,173","59,149","58,561","58,345","59,355","59,845",,,,,,,,,,,
675,"West Allis city, Wisconsin","60,337","60,259","59,524","59,150","59,342","59,784",,,,,,,,,,,
676,"Coconut Creek city, Florida","57,829","57,727","57,251","57,912","58,873","59,721",,,,,,,,,,,
677,"Hempstead village, New York","59,185","58,871","58,753","58,479","58,408","59,569",,,,,,,,,,,
678,"Beaumont city, California","53,055","53,311","54,452","56,052","58,006","59,502",,,,,,,,,,,
679,"Lenexa city, Kansas","57,411","57,529","58,325","58,263","58,404","59,427",,,,,,,,,,,
680,"Spring Hill city, Tennessee","50,687","51,313","54,199","56,118","57,749","59,398",,,,,,,,,,,
681,"Petaluma city, California","59,799","59,749","59,273","58,888","58,996","59,393",,,,,,,,,,,
682,"Brookhaven city, Georgia","56,761","56,777","57,030","57,990","58,262","59,370",,,,,,,,,,,
683,"Pico Rivera city, California","62,081","61,887","60,666","59,994","59,550","59,363",,,,,,,,,,,
684,"Hoboken city, New Jersey","60,057","59,913","58,257","57,690","58,264","59,149",,,,,,,,,,,
685,"Youngstown city, Ohio","60,047","59,888","59,194","59,260","59,195","59,123",,,,,,,,,,,
686,"Santee city, California","60,042","59,859","59,154","59,347","59,312","59,104",,,,,,,,,,,
687,"Lake Havasu City city, Arizona","57,128","57,368","58,177","58,428","58,802","59,037",,,,,,,,,,,
688,"Dubuque city, Iowa","59,676","59,653","59,281","58,928","58,941","58,987",,,,,,,,,,,
689,"Gardena city, California","61,024","60,828","59,586","58,946","58,794","58,921",,,,,,,,,,,
690,"Des Plaines city, Illinois","60,672","60,456","59,434","58,665","58,465","58,832",,,,,,,,,,,
691,"Casper city, Wyoming","59,097","59,315","58,749","58,522","58,748","58,823",,,,,,,,,,,
692,"Cupertino city, California","60,229","59,978","58,369","57,855","57,985","58,710",,,,,,,,,,,
693,"Lacey city, Washington","56,326","56,764","57,136","57,994","58,234","58,644",,,,,,,,,,,
694,"Terre Haute city, Indiana","58,413","58,396","58,372","58,376","58,455","58,531",,,,,,,,,,,
695,"Midwest City city, Oklahoma","58,404","58,465","58,174","58,156","58,261","58,505",,,,,,,,,,,
696,"National City city, California","58,722","61,476","58,095","58,372","58,122","58,460",,,,,,,,,,,
697,"Lancaster city, Pennsylvania","58,051","57,943","57,677","57,335","57,304","58,441",,,,,,,,,,,
698,"Bowie city, Maryland","58,321","58,226","57,728","57,576","57,783","58,421",,,,,,,,,,,
699,"Royal Oak city, Michigan","58,203","58,056","57,861","57,724","57,836","58,251",,,,,,,,,,,
700,"Pocatello city, Idaho","56,324","56,434","57,385","57,972","58,176","58,231",,,,,,,,,,,
701,"Bradenton city, Florida","55,713","55,815","56,354","57,185","57,500","58,184",,,,,,,,,,,
702,"Carson City, Nevada","58,642","58,682","58,770","58,094","58,226","58,148",,,,,,,,,,,
703,"Springfield city, Ohio","58,644","58,590","58,333","57,955","58,041","58,138",,,,,,,,,,,
704,"St. Clair Shores city, Michigan","58,872","58,759","58,261","57,872","57,840","58,077",,,,,,,,,,,
705,"Orland Park village, Illinois","58,723","58,545","57,919","57,575","57,522","58,020",,,,,,,,,,,
706,"Monterey Park city, California","61,109","60,899","59,574","58,772","58,253","57,996",,,,,,,,,,,
707,"Decatur city, Alabama","57,321","57,134","56,862","57,245","57,776","57,974",,,,,,,,,,,
708,"Bozeman city, Montana","53,563","53,865","55,409","56,293","57,106","57,894",,,,,,,,,,,
709,"Texas City city, Texas","51,905","52,286","54,319","55,706","56,684","57,875",,,,,,,,,,,
710,"Taylorsville city, Utah","60,439","60,380","59,266","58,160","57,758","57,819",,,,,,,,,,,
711,"Sarasota city, Florida","54,851","55,198","56,197","57,688","58,061","57,764",,,,,,,,,,,
712,"Southaven city, Mississippi","54,645","54,847","55,493","56,273","57,020","57,493",,,,,,,,,,,
713,"New Brunswick city, New Jersey","55,256","55,298","56,310","56,143","56,567","57,487",,,,,,,,,,,
714,"Saratoga Springs city, Utah","37,702","38,300","44,102","49,419","52,937","57,411",,,,,,,,,,,
715,"Coeur d'Alene city, Idaho","54,651","54,954","56,153","56,755","56,984","57,355",,,,,,,,,,,
716,"Tigard city, Oregon","54,830","55,034","55,908","55,772","56,019","57,301",,,,,,,,,,,
717,"Smyrna city, Georgia","56,199","56,167","56,316","56,630","56,912","57,177",,,,,,,,,,,
718,"Albany city, Oregon","56,332","56,526","56,820","56,768","56,974","57,156",,,,,,,,,,,
719,"Bonita Springs city, Florida","53,665","53,887","54,908","56,702","56,915","57,112",,,,,,,,,,,
720,"Kingsport city, Tennessee","55,535","55,510","55,697","56,207","56,761","57,109",,,,,,,,,,,
721,"Kettering city, Ohio","57,860","57,822","57,561","57,082","57,035","57,028",,,,,,,,,,,
722,"Perth Amboy city, New Jersey","55,437","55,376","55,458","55,533","56,048","56,939",,,,,,,,,,,
